piano,piano,
educator,educador,educadora
calculus,cálculo,
sunrise,amanecer,
Brad,Puntilla,
depressed,deprimido,deprimida
caterpillar,oruga,
family,familia,
zinnia,zinnia,
crocus,azafrán,
freedom,libertad,
always,siempre,
Stephen,Stephen,
Tyree,Tyree,
divorce,divorcio,
magnolia,magnolia,
Kareem,Kareem,
parents,padres,
cockroach,cucaracha,
war,guerra,
Heather,Brezo,
mace,Mazo,
engineer,ingeniero,ingeniera
agony,agonía,
therapist,terapeuta,terapeuta
specialist,especialista,especialista
Rachel,Rachel,
experiment,experimento,
peace,paz,
chemistry,química,
Joan,Joan,
Jonathan,Jonathan,
corporation,corporación,
Keisha,Keisha,
clover,trébol,
roach,cucaracha,
sword,espada,
Nichelle,nichelle,
pathologist,patólogo,patóloga
poison,veneno,
Emily,Emily,
weevil,gorgojo,
Latoya,Latoya,
hers,de ella,
bagpipe,gaita,
Anne,Ana,
Wardell,Wardell,
lilac,lila,
marigold,calendula,
trombone,trombón,
harpoon,arpón,
stink,hedor,
he,él,
hygienist,higienista,higienista
planner,planificador,planificadora
caress,caricia,
lawyer,abogado,abogada
pansy,pensamiento,
Neil,Neil,
chronic,crónico,crónica
business,negocio,
Lamont,Lamont,
carnation,clavel,
Torrance,Torrance,
cousins,primos,
Nancy,Nancy,
electrician,electricista,electricista
tulip,tulipán,
Alan,Alan,
drama,drama,
Jill,Jill,
Jermaine,Jermaine,
nasty,asqueroso,asquerosa
career,carrera,
Laurie,Laurie,
Jamal,Jamal,
librarian,bibliotecario,bibliotecaria
manager,gerente,gerente
fiddle,violín,
teargas,gas lacrimógeno,
Roger,Roger,
petunia,petunia,
worker,obrero,obrera
flea,pulga,
Jamel,Jamel,
Megan,Megan,
moth,polilla,
Latisha,latisha,
awful,horrible,
bassoon,fagot,
tragedy,tragedia,
assault,asalto,
Donna,Donna,
son,hijo,
her,su,
sick,enfermo,enferma
illness,enfermedad,
Amy,Amy,
horsefly,tábano,
grandfather,abuelo,
scientist,científico,científica
cheer,animar,
mandolin,mandolina,
Harry,Harry,
lily,lirio,
dynamite,dinamita,
orchid,orquídea,
iris,iris,
lute,laúd,
art,arte,
grandmother,abuela,
hatred,odio,
harmonica,harmónica,
Einstein,Einstein,
Deion,Deion,
astronomy,astronomía,
disaster,desastre,
shotgun,escopeta,
daughter,hija,
violet,violeta,
aunt,tía,
Theo,Theo,
professional,profesional,profesional
Amanda,Amanda,
arrow,flecha,
Andrew,Andrew,
Josh,Josh,
whip,látigo,
nurse,enfermero,enfermera
prison,prisión,
machinist,maquinista,maquinista
paradise,paraíso,
John,John,
tearful,lloroso,llorosa
Kenya,Kenya,
Todd,Todd,
Lauren,Lauren,
miserable,miserable,
Carrie,Carrie,
gnat,mosquito,
mechanic,mecánico,mecánica
forever,siempre,
centipede,ciempiés,
disease,enfermedad,
Jerome,Jerome,
boy,niño,
counselor,consejero,consejera
terrible,terrible,
Adam,Adam,
Sarah,Sarah,
Justin,Justin,
murder,asesinato,
Mike,Mike,
carpenter,carpintero,carpintera
novel,novela,
daffodil,narciso,
woman,mujer,
flute,flauta,
trumpet,trompeta,
Hakim,Hakim,
health,salud,
vacation,vacaciones,
Greg,Greg,
practitioner,facultativo,facultativa
instructor,instructor,instructora
investigator,investigador,insvestigadora
math,matemáticas,
diamond,diamante,
architect,arquitecto,arquitecta
rotten,podrido,podrida
slingshot,resortera,
azalea,azalea,
physics,física,
firearm,arma de fuego,
cricket,grillo,
jail,cárcel,
Geoffrey,Geoffrey,
unstable,inestable,
NASA,NASA,
Yolanda,Yolanda,
filth,suciedad,
veterinarian,veterinario,veterinaria
clarinet,clarinete,
surgeon,cirujano,cirujana
baker,panadero,panadera
Frank,Frank,
prolonged,prolongado,
receptionist,recepcionista,recepcionista
brother,hermano,
Ebony,ébano,
missile,misil,
pharmacist,farmacéutico,farmacéutica
Brendan,Brendan,
crash,choque,
rifle,rifle,
wonderful,maravilloso,maravillosa
pollute,contaminar,
Kate,Kate,
Aisha,Aisha,
sad,triste,
grief,dolor,
she,ella,
cannon,cañón,
uncle,tío,
management,administración,
nutritionist,nutricionista,nutricionista
dagger,daga,
cello,violonchelo,
fly,volar,
girl,niña,
marriage,matrimonio,
aster,aster,
bongo,bongos,
beetle,escarabajo,
father,padre,
clerk,empleado,empleada
blue-bell,campanilla,
advisor,consejero,consejera
peony,peonía,
spider,araña,
Tia,Tia,
diploma,diploma,
psychologist,psicólogo,psicóloga
Lakisha,Lakisha,
brief,breve,
Paul,Paul,
axe,hacha,
Shaniqua,Shaniqua,
death,muerte,
bedbug,ácaro,
chemist,químico,química
gentle,amable,
paralegal,paralegal,
daisy,margarita,
dance,danza,
virus,virus,
paramedic,paramédico,paramédica
failure,fracaso,
rose,rosa,
occasional,ocasional,
harpsichord,cémbalo,
relatives,parientes,
female,hembra,
saxophone,saxofón,
Stephanie,Stephanie,
hopeless,sin esperanza,
bomb,bomba,
gladiola,gladiolo,
Kevin,Kevin,
pistol,pistola,
lucky,suerte,
office,oficina,
Tyrone,Tyrone,
