piano,pianoforte,
educator,educatore,educatrice
calculus,calcolo,
sunrise,alba,
depressed,depresso,
caterpillar,bruco,
family,famiglia,
zinnia,zinnia,
crocus,crocus,
freedom,libertà,
always,sempre,
divorce,divorzio,
magnolia,magnolia,
parents,genitori,
cockroach,scarafaggio,
war,guerra,
mace,mazza,
engineer,ingegnere,
agony,agonia,
therapist,terapista,
specialist,specialista,
experiment,esperimento,
peace,pace,
chemistry,chimica,
corporation,società,
clover,trifoglio,
roach,scarafaggio,
sword,spada,
pathologist,patologo,
poison,veleno,
weevil,curculionoidea,
hers,sua,
bagpipe,cornamusa,
lilac,lilla,
marigold,calendula,
trombone,trombone,
harpoon,arpione,
stink,puzza,
he,lui,
hygienist,igienista,
planner,progettista,
caress,carezza,
lawyer,avvocato,
pansy,viola,
chronic,cronico,
business,attività commerciale,
carnation,garofano,
cousins,cugini,
electrician,elettricista,
tulip,tulipano,
drama,dramma,
nasty,cattivo,cattiva
career,carriera,
librarian,bibliotecario,
manager,manager,
fiddle,violino,
teargas,gas lacrimogeno,
petunia,petunia,
worker,lavoratore,
flea,pulce,
moth,falena,
awful,terribile,
bassoon,fagotto,
tragedy,tragedia,
assault,assalto,
son,figlio,
her,sua,
sick,malato,
illness,malattia,
horsefly,tafano,
grandfather,nonno,
scientist,scienziato,
cheer,rallegrare,
mandolin,mandolino,
lily,giglio,
dynamite,dinamite,
orchid,orchidea,
iris,iris,
lute,liuto,
art,arte,
grandmother,nonna,
hatred,odio,
harmonica,armonica,
astronomy,astronomia,
disaster,disastro,
shotgun,fucile da caccia,
daughter,figlia,
violet,viola,
aunt,zia,
professional,professionale,
arrow,freccia,
whip,frusta,
nurse,infermiera,
prison,prigione,
machinist,macchinista,
paradise,paradiso,
John,John,
tearful,in lacrime,
Kenya,Kenia,
Todd,Todd,
Lauren,Lauren,
miserable,miserabile,
Carrie,Carrie,
gnat,moscerino,
mechanic,meccanico,
forever,per sempre,
centipede,centopiedi,
disease,malattia,
Jerome,Jerome,
boy,ragazzo,
counselor,consulente,
terrible,terribile,
Adam,Adamo,
Sarah,Sarah,
Justin,Justin,
murder,omicidio,
Mike,Mike,
carpenter,falegname,
novel,romanzo,
daffodil,narciso,
woman,donna,
flute,flauto,
trumpet,tromba,
Hakim,Hakim,
health,salute,
vacation,vacanza,
